investor_id,days_gap,churn_risk_status
INV001039,187.0,At-Risk
INV001040,132.0,At-Risk
INV001041,195.0,At-Risk
INV001042,200.0,At-Risk
INV001043,235.0,At-Risk
INV001044,117.0,At-Risk
INV001045,191.0,At-Risk
INV001046,36.0,At-Risk
INV001047,142.0,At-Risk
INV001048,84.0,At-Risk
INV001049,177.0,At-Risk
INV001050,156.0,At-Risk
INV001051,139.0,At-Risk
INV001052,285.0,At-Risk
INV001053,116.0,At-Risk
INV001054,183.0,At-Risk
INV001055,177.0,At-Risk
INV001056,,Active
INV001057,228.0,At-Risk
INV001058,109.0,At-Risk
INV001059,333.0,At-Risk
INV001060,89.0,At-Risk
INV001061,141.0,At-Risk
INV001062,201.0,At-Risk
INV001063,120.0,At-Risk
INV001064,160.0,At-Risk
INV001065,253.0,At-Risk
INV001066,32.0,Active
INV001067,246.0,At-Risk
INV001068,261.0,At-Risk
INV001069,98.0,At-Risk
INV001070,329.0,At-Risk
INV001071,23.0,Active
INV001072,128.0,At-Risk
INV001073,14.0,Active
INV001074,119.0,At-Risk
INV001075,105.0,At-Risk
INV001076,298.0,At-Risk
INV001077,191.0,At-Risk
INV001079,308.0,At-Risk
INV001080,54.0,At-Risk
INV001081,395.0,At-Risk
INV001082,209.0,At-Risk
INV001083,117.0,At-Risk
INV001084,,Active
INV001085,155.0,At-Risk
INV001086,112.0,At-Risk
INV001087,175.0,At-Risk
INV001088,163.0,At-Risk
INV001089,,Active
INV001090,,Active
INV001091,138.0,At-Risk
INV001092,186.0,At-Risk
INV001093,134.0,At-Risk
INV001094,145.0,At-Risk
INV001095,244.0,At-Risk
INV001096,176.0,At-Risk
INV001099,63.0,At-Risk
INV001100,,Active
INV001101,189.0,At-Risk
INV001102,87.0,At-Risk
INV001103,142.0,At-Risk
INV001104,,Active
INV001105,,Active
INV001106,300.0,At-Risk
INV001107,72.0,At-Risk
INV001108,199.0,At-Risk
INV001109,118.0,At-Risk
INV001110,147.0,At-Risk
INV001111,201.0,At-Risk
INV001112,66.0,At-Risk
INV001113,73.0,At-Risk
INV001114,406.0,At-Risk
INV001115,290.0,At-Risk
INV001116,194.0,At-Risk
INV001117,137.0,At-Risk
INV001118,204.0,At-Risk
INV001119,327.0,At-Risk
INV001120,72.0,At-Risk
INV001121,197.0,At-Risk
INV001122,309.0,At-Risk
INV001123,203.0,At-Risk
INV001124,159.0,At-Risk
INV001126,23.0,Active
INV001127,189.0,At-Risk
INV001128,122.0,At-Risk
INV001129,,Active
INV001130,131.0,At-Risk
INV001131,191.0,At-Risk
INV001132,,Active
INV001133,112.0,At-Risk
INV001134,,Active
INV001136,58.0,At-Risk
INV001137,120.0,At-Risk
INV001138,351.0,At-Risk
INV001139,325.0,At-Risk
INV001140,125.0,At-Risk
INV001141,132.0,At-Risk
INV001142,106.0,At-Risk
INV001143,146.0,At-Risk
INV001144,194.0,At-Risk
INV001145,39.0,At-Risk
INV001146,,Active
INV001148,151.0,At-Risk
INV001149,276.0,At-Risk
INV001150,228.0,At-Risk
INV001151,302.0,At-Risk
INV001152,128.0,At-Risk
INV001153,,Active
INV001154,308.0,At-Risk
INV001155,131.0,At-Risk
INV001156,175.0,At-Risk
INV001157,98.0,At-Risk
INV001158,256.0,At-Risk
INV001159,,Active
INV001160,99.0,At-Risk
INV001161,159.0,At-Risk
INV001163,255.0,At-Risk
INV001164,202.0,At-Risk
INV001165,103.0,At-Risk
INV001166,299.0,At-Risk
INV001167,207.0,At-Risk
INV001168,161.0,At-Risk
INV001169,272.0,At-Risk
INV001170,119.0,At-Risk
INV001171,123.0,At-Risk
INV001172,107.0,At-Risk
INV001173,146.0,At-Risk
INV001174,266.0,At-Risk
INV001175,116.0,At-Risk
INV001176,81.0,At-Risk
INV001177,,Active
INV001178,140.0,At-Risk
INV001179,,Active
INV001180,198.0,At-Risk
INV001181,163.0,At-Risk
INV001182,10.0,Active
INV001183,145.0,At-Risk
INV001184,,Active
INV001185,208.0,At-Risk
INV001186,118.0,At-Risk
INV001187,,Active
INV001188,,Active
INV001189,71.0,At-Risk
INV001190,198.0,At-Risk
INV001191,48.0,At-Risk
INV001192,143.0,At-Risk
INV001193,100.0,At-Risk
INV001194,159.0,At-Risk
INV001195,167.0,At-Risk
INV001196,169.0,At-Risk
INV001197,186.0,At-Risk
INV001198,168.0,At-Risk
INV001199,143.0,At-Risk
INV001200,354.0,At-Risk
INV001201,,Active
INV001202,103.0,At-Risk
INV001203,225.0,At-Risk
INV001204,246.0,At-Risk
INV001205,,Active
INV001206,190.0,At-Risk
INV001207,166.0,At-Risk
INV001208,107.0,At-Risk
INV001209,88.0,At-Risk
INV001210,93.0,At-Risk
INV001211,,Active
INV001212,130.0,At-Risk
INV001213,250.0,At-Risk
INV001214,,Active
INV001215,332.0,At-Risk
INV001216,362.0,At-Risk
INV001217,205.0,At-Risk
INV001218,247.0,At-Risk
INV001219,118.0,At-Risk
INV001220,104.0,At-Risk
INV001221,182.0,At-Risk
INV001222,202.0,At-Risk
INV001223,175.0,At-Risk
INV001224,113.0,At-Risk
INV001225,181.0,At-Risk
INV001226,,Active
INV001227,138.0,At-Risk
INV001228,142.0,At-Risk
INV001229,103.0,At-Risk
INV001230,104.0,At-Risk
INV001231,,Active
INV001232,207.0,At-Risk
INV001233,189.0,At-Risk
INV001234,119.0,At-Risk
INV001235,161.0,At-Risk
INV001236,178.0,At-Risk
INV001237,182.0,At-Risk
INV001238,220.0,At-Risk
INV001239,,Active
INV001240,,Active
INV001241,102.0,At-Risk
INV001242,128.0,At-Risk
INV001243,,Active
INV001244,77.0,At-Risk
INV001245,,Active
INV001246,184.0,At-Risk
INV001247,139.0,At-Risk
INV001248,,Active
INV001249,189.0,At-Risk
INV001250,353.0,At-Risk
INV001251,223.0,At-Risk
INV001254,124.0,At-Risk
INV001255,304.0,At-Risk
INV001256,308.0,At-Risk
INV001257,198.0,At-Risk
INV001258,58.0,At-Risk
INV001259,298.0,At-Risk
INV001260,163.0,At-Risk
INV001261,140.0,At-Risk
INV001262,116.0,At-Risk
INV001263,139.0,At-Risk
INV001264,179.0,At-Risk
INV001265,217.0,At-Risk
INV001266,,Active
INV001267,293.0,At-Risk
INV001269,231.0,At-Risk
INV001270,,Active
INV001271,140.0,At-Risk
INV001273,332.0,At-Risk
INV001274,161.0,At-Risk
INV001275,140.0,At-Risk
INV001276,226.0,At-Risk
INV001277,420.0,At-Risk
INV001279,417.0,At-Risk
INV001280,8.0,Active
INV001281,323.0,At-Risk
INV001282,196.0,At-Risk
INV001284,228.0,At-Risk
INV001285,,Active
INV001286,26.0,Active
INV001287,157.0,At-Risk
INV001288,148.0,At-Risk
INV001289,221.0,At-Risk
INV001290,294.0,At-Risk
INV001291,181.0,At-Risk
INV001292,116.0,At-Risk
INV001294,,Active
INV001295,165.0,At-Risk
INV001296,,Active
INV001297,247.0,At-Risk
INV001298,158.0,At-Risk
INV001299,121.0,At-Risk
INV001300,115.0,At-Risk
INV001301,,Active
INV001302,,Active
INV001304,177.0,At-Risk
INV001305,42.0,At-Risk
INV001306,92.0,At-Risk
INV001307,304.0,At-Risk
INV001308,147.0,At-Risk
INV001309,,Active
INV001310,232.0,At-Risk
INV001311,192.0,At-Risk
INV001312,130.0,At-Risk
INV001313,,Active
INV001314,130.0,At-Risk
INV001315,124.0,At-Risk
INV001316,198.0,At-Risk
INV001317,162.0,At-Risk
INV001318,150.0,At-Risk
INV001319,76.0,At-Risk
INV001320,94.0,At-Risk
INV001321,123.0,At-Risk
INV001322,149.0,At-Risk
INV001323,,Active
INV001324,,Active
INV001325,437.0,At-Risk
INV001326,182.0,At-Risk
INV001327,,Active
INV001328,71.0,At-Risk
INV001329,97.0,At-Risk
INV001330,164.0,At-Risk
INV001331,202.0,At-Risk
INV001332,179.0,At-Risk
INV001333,185.0,At-Risk
INV001334,159.0,At-Risk
INV001335,,Active
INV001336,198.0,At-Risk
INV001337,167.0,At-Risk
INV001338,,Active
INV001339,,Active
INV001340,,Active
INV001341,202.0,At-Risk
INV001342,261.0,At-Risk
INV001343,159.0,At-Risk
INV001344,,Active
INV001345,269.0,At-Risk
INV001346,137.0,At-Risk
INV001347,265.0,At-Risk
INV001348,121.0,At-Risk
INV001349,,Active
INV001350,411.0,At-Risk
INV001351,208.0,At-Risk
INV001352,34.0,Active
INV001353,134.0,At-Risk
INV001354,327.0,At-Risk
INV001355,187.0,At-Risk
INV001356,191.0,At-Risk
INV001357,133.0,At-Risk
INV001358,,Active
INV001359,313.0,At-Risk
INV001360,,Active
INV001361,103.0,At-Risk
INV001362,37.0,At-Risk
INV001363,217.0,At-Risk
INV001365,100.0,At-Risk
INV001366,181.0,At-Risk
INV001367,222.0,At-Risk
INV001368,,Active
INV001369,222.0,At-Risk
INV001370,164.0,At-Risk
INV001371,,Active
INV001372,199.0,At-Risk
INV001373,154.0,At-Risk
INV001374,33.0,Active
INV001375,176.0,At-Risk
INV001376,181.0,At-Risk
INV001377,103.0,At-Risk
INV001378,,Active
INV001379,74.0,At-Risk
INV001380,,Active
INV001382,292.0,At-Risk
INV001383,117.0,At-Risk
INV001384,173.0,At-Risk
INV001385,305.0,At-Risk
INV001386,201.0,At-Risk
INV001387,130.0,At-Risk
INV001388,262.0,At-Risk
INV001389,,Active
INV001390,400.0,At-Risk
INV001391,114.0,At-Risk
INV001392,108.0,At-Risk
INV001393,208.0,At-Risk
INV001394,171.0,At-Risk
INV001395,197.0,At-Risk
INV001396,122.0,At-Risk
INV001397,230.0,At-Risk
INV001398,301.0,At-Risk
INV001399,135.0,At-Risk
INV001400,266.0,At-Risk
INV001401,197.0,At-Risk
INV001402,328.0,At-Risk
INV001403,,Active
INV001404,201.0,At-Risk
INV001405,288.0,At-Risk
INV001406,202.0,At-Risk
INV001407,141.0,At-Risk
INV001408,46.0,At-Risk
INV001409,70.0,At-Risk
INV001410,164.0,At-Risk
INV001411,273.0,At-Risk
INV001412,141.0,At-Risk
INV001413,125.0,At-Risk
INV001414,,Active
INV001415,173.0,At-Risk
INV001416,303.0,At-Risk
INV001417,,Active
INV001418,187.0,At-Risk
INV001419,137.0,At-Risk
INV001420,272.0,At-Risk
INV001421,164.0,At-Risk
INV001422,43.0,At-Risk
INV001423,105.0,At-Risk
INV001424,231.0,At-Risk
INV001425,445.0,At-Risk
INV001426,,Active
INV001427,,Active
INV001428,174.0,At-Risk
INV001429,,Active
INV001430,,Active
INV001431,98.0,At-Risk
INV001432,175.0,At-Risk
INV001433,112.0,At-Risk
INV001434,178.0,At-Risk
INV001435,36.0,At-Risk
INV001436,37.0,At-Risk
INV001437,,Active
INV001438,,Active
INV001439,224.0,At-Risk
INV001440,226.0,At-Risk
INV001441,60.0,At-Risk
INV001442,238.0,At-Risk
INV001443,126.0,At-Risk
INV001444,54.0,At-Risk
INV001445,78.0,At-Risk
INV001446,139.0,At-Risk
INV001447,257.0,At-Risk
INV001448,96.0,At-Risk
INV001449,126.0,At-Risk
INV001450,73.0,At-Risk
INV001451,,Active
INV001452,78.0,At-Risk
INV001453,157.0,At-Risk
INV001454,176.0,At-Risk
INV001455,153.0,At-Risk
INV001456,200.0,At-Risk
INV001457,63.0,At-Risk
INV001458,101.0,At-Risk
INV001459,,Active
INV001460,154.0,At-Risk
INV001461,43.0,At-Risk
INV001462,209.0,At-Risk
INV001463,71.0,At-Risk
INV001464,,Active
INV001465,273.0,At-Risk
INV001466,82.0,At-Risk
INV001467,321.0,At-Risk
INV001468,6.0,Active
INV001469,,Active
INV001470,299.0,At-Risk
INV001472,141.0,At-Risk
INV001473,431.0,At-Risk
INV001474,,Active
INV001475,131.0,At-Risk
INV001476,367.0,At-Risk
INV001477,,Active
INV001478,200.0,At-Risk
INV001479,204.0,At-Risk
INV001480,172.0,At-Risk
INV001481,241.0,At-Risk
INV001482,280.0,At-Risk
INV001483,179.0,At-Risk
INV001484,18.0,Active
INV001485,150.0,At-Risk
INV001486,,Active
INV001487,112.0,At-Risk
INV001488,298.0,At-Risk
INV001489,162.0,At-Risk
INV001491,260.0,At-Risk
INV001492,208.0,At-Risk
INV001494,254.0,At-Risk
INV001495,16.0,Active
INV001496,165.0,At-Risk
INV001497,138.0,At-Risk
INV001498,,Active
INV001499,126.0,At-Risk
INV001500,112.0,At-Risk
INV001501,226.0,At-Risk
INV001502,,Active
INV001503,144.0,At-Risk
INV001504,134.0,At-Risk
INV001505,296.0,At-Risk
INV001506,237.0,At-Risk
INV001507,167.0,At-Risk
INV001508,373.0,At-Risk
INV001509,,Active
INV001510,124.0,At-Risk
INV001511,,Active
INV001512,195.0,At-Risk
INV001513,95.0,At-Risk
INV001514,72.0,At-Risk
INV001515,253.0,At-Risk
INV001516,85.0,At-Risk
INV001518,90.0,At-Risk
INV001519,79.0,At-Risk
INV001520,,Active
INV001521,207.0,At-Risk
INV001522,205.0,At-Risk
INV001524,210.0,At-Risk
INV001525,103.0,At-Risk
INV001526,134.0,At-Risk
INV001527,,Active
INV001528,254.0,At-Risk
INV001529,,Active
INV001530,122.0,At-Risk
INV001531,139.0,At-Risk
INV001532,101.0,At-Risk
INV001534,213.0,At-Risk
INV001535,421.0,At-Risk
INV001536,189.0,At-Risk
INV001537,88.0,At-Risk
INV001538,175.0,At-Risk
INV001539,306.0,At-Risk
INV001540,325.0,At-Risk
INV001542,119.0,At-Risk
INV001543,252.0,At-Risk
INV001544,241.0,At-Risk
INV001545,208.0,At-Risk
INV001547,119.0,At-Risk
INV001548,197.0,At-Risk
INV001549,78.0,At-Risk
INV001550,191.0,At-Risk
INV001551,131.0,At-Risk
INV001552,,Active
INV001553,151.0,At-Risk
INV001554,5.0,Active
INV001555,199.0,At-Risk
INV001556,128.0,At-Risk
INV001557,371.0,At-Risk
INV001558,156.0,At-Risk
INV001560,400.0,At-Risk
INV001561,198.0,At-Risk
INV001562,146.0,At-Risk
INV001563,,Active
INV001564,157.0,At-Risk
INV001566,256.0,At-Risk
INV001567,92.0,At-Risk
INV001568,,Active
INV001569,314.0,At-Risk
INV001570,304.0,At-Risk
INV001571,,Active
INV001572,,Active
INV001573,109.0,At-Risk
INV001574,118.0,At-Risk
INV001575,155.0,At-Risk
INV001576,169.0,At-Risk
INV001577,,Active
INV001578,,Active
INV001579,193.0,At-Risk
INV001580,119.0,At-Risk
INV001581,,Active
INV001582,,Active
INV001583,112.0,At-Risk
INV001584,62.0,At-Risk
INV001585,182.0,At-Risk
INV001586,164.0,At-Risk
INV001587,144.0,At-Risk
INV001588,101.0,At-Risk
INV001589,,Active
INV001590,253.0,At-Risk
INV001591,69.0,At-Risk
INV001592,4.0,Active
INV001593,,Active
INV001594,122.0,At-Risk
INV001595,194.0,At-Risk
INV001596,,Active
INV001597,165.0,At-Risk
INV001598,112.0,At-Risk
INV001599,133.0,At-Risk
INV001600,260.0,At-Risk
INV001601,,Active
INV001602,294.0,At-Risk
INV001603,93.0,At-Risk
INV001604,72.0,At-Risk
INV001605,136.0,At-Risk
INV001606,148.0,At-Risk
INV001607,462.0,At-Risk
INV001608,117.0,At-Risk
INV001609,164.0,At-Risk
INV001611,160.0,At-Risk
INV001612,175.0,At-Risk
INV001613,,Active
INV001614,27.0,Active
INV001615,230.0,At-Risk
INV001616,117.0,At-Risk
INV001617,,Active
INV001618,201.0,At-Risk
INV001619,226.0,At-Risk
INV001620,140.0,At-Risk
INV001621,232.0,At-Risk
INV001622,196.0,At-Risk
INV001623,188.0,At-Risk
INV001624,68.0,At-Risk
INV001625,209.0,At-Risk
INV001626,244.0,At-Risk
INV001627,326.0,At-Risk
INV001628,139.0,At-Risk
INV001629,82.0,At-Risk
INV001630,126.0,At-Risk
INV001631,101.0,At-Risk
INV001633,,Active
INV001634,,Active
INV001635,200.0,At-Risk
INV001636,159.0,At-Risk
INV001637,,Active
INV001638,40.0,At-Risk
INV001639,85.0,At-Risk
INV001640,48.0,At-Risk
INV001641,168.0,At-Risk
INV001642,,Active
INV001643,148.0,At-Risk
INV001644,89.0,At-Risk
INV001645,202.0,At-Risk
INV001646,250.0,At-Risk
INV001648,117.0,At-Risk
INV001649,120.0,At-Risk
INV001650,193.0,At-Risk
INV001651,130.0,At-Risk
INV001652,149.0,At-Risk
INV001653,94.0,At-Risk
INV001654,137.0,At-Risk
INV001655,97.0,At-Risk
INV001656,246.0,At-Risk
INV001658,254.0,At-Risk
INV001659,41.0,At-Risk
INV001660,253.0,At-Risk
INV001661,292.0,At-Risk
INV001662,147.0,At-Risk
INV001663,123.0,At-Risk
INV001664,,Active
INV001665,125.0,At-Risk
INV001666,94.0,At-Risk
INV001667,,Active
INV001668,,Active
INV001669,15.0,Active
INV001670,224.0,At-Risk
INV001671,346.0,At-Risk
INV001672,130.0,At-Risk
INV001673,181.0,At-Risk
INV001674,144.0,At-Risk
INV001676,,Active
INV001677,380.0,At-Risk
INV001678,,Active
INV001679,263.0,At-Risk
INV001680,200.0,At-Risk
INV001681,330.0,At-Risk
INV001682,,Active
INV001683,186.0,At-Risk
INV001684,240.0,At-Risk
INV001685,44.0,At-Risk
INV001686,,Active
INV001687,227.0,At-Risk
INV001688,279.0,At-Risk
INV001689,153.0,At-Risk
INV001690,114.0,At-Risk
INV001691,254.0,At-Risk
INV001692,34.0,Active
INV001693,257.0,At-Risk
INV001694,144.0,At-Risk
INV001695,82.0,At-Risk
INV001696,243.0,At-Risk
INV001697,287.0,At-Risk
INV001698,,Active
INV001699,183.0,At-Risk
INV001700,,Active
INV001701,262.0,At-Risk
INV001702,,Active
INV001703,,Active
INV001705,85.0,At-Risk
INV001706,269.0,At-Risk
INV001707,314.0,At-Risk
INV001708,327.0,At-Risk
INV001709,84.0,At-Risk
INV001710,,Active
INV001711,189.0,At-Risk
INV001712,144.0,At-Risk
INV001713,168.0,At-Risk
INV001714,247.0,At-Risk
INV001715,188.0,At-Risk
INV001716,113.0,At-Risk
INV001718,237.0,At-Risk
INV001719,121.0,At-Risk
INV001720,212.0,At-Risk
INV001721,208.0,At-Risk
INV001722,291.0,At-Risk
INV001723,27.0,Active
INV001724,134.0,At-Risk
INV001725,212.0,At-Risk
INV001726,,Active
INV001727,244.0,At-Risk
INV001728,131.0,At-Risk
INV001729,,Active
INV001730,17.0,Active
INV001731,310.0,At-Risk
INV001732,256.0,At-Risk
INV001733,,Active
INV001734,187.0,At-Risk
INV001735,234.0,At-Risk
INV001736,185.0,At-Risk
INV001737,191.0,At-Risk
INV001738,153.0,At-Risk
INV001739,96.0,At-Risk
INV001740,206.0,At-Risk
INV001741,260.0,At-Risk
INV001742,111.0,At-Risk
INV001743,67.0,At-Risk
INV001744,155.0,At-Risk
INV001745,288.0,At-Risk
INV001746,186.0,At-Risk
INV001747,403.0,At-Risk
INV001748,199.0,At-Risk
INV001749,,Active
INV001750,286.0,At-Risk
INV001751,67.0,At-Risk
INV001752,170.0,At-Risk
INV001753,128.0,At-Risk
INV001754,69.0,At-Risk
INV001757,121.0,At-Risk
INV001758,135.0,At-Risk
INV001759,126.0,At-Risk
INV001760,221.0,At-Risk
INV001761,,Active
INV001762,93.0,At-Risk
INV001763,149.0,At-Risk
INV001764,256.0,At-Risk
INV001765,278.0,At-Risk
INV001766,166.0,At-Risk
INV001768,2.0,Active
INV001769,166.0,At-Risk
INV001770,166.0,At-Risk
INV001771,,Active
INV001772,184.0,At-Risk
INV001773,130.0,At-Risk
INV001774,155.0,At-Risk
INV001775,65.0,At-Risk
INV001776,,Active
INV001777,156.0,At-Risk
INV001778,283.0,At-Risk
INV001779,,Active
INV001780,,Active
INV001781,153.0,At-Risk
INV001782,99.0,At-Risk
INV001783,156.0,At-Risk
INV001784,194.0,At-Risk
INV001785,383.0,At-Risk
INV001786,,Active
INV001787,62.0,At-Risk
INV001788,93.0,At-Risk
INV001789,110.0,At-Risk
INV001790,354.0,At-Risk
INV001791,204.0,At-Risk
INV001792,126.0,At-Risk
INV001793,,Active
INV001794,224.0,At-Risk
INV001795,389.0,At-Risk
INV001796,54.0,At-Risk
INV001797,132.0,At-Risk
INV001798,118.0,At-Risk
INV001799,198.0,At-Risk
INV001800,132.0,At-Risk
INV001801,128.0,At-Risk
INV001802,151.0,At-Risk
INV001803,127.0,At-Risk
INV001804,126.0,At-Risk
INV001805,100.0,At-Risk
INV001806,209.0,At-Risk
INV001809,249.0,At-Risk
INV001810,142.0,At-Risk
INV001811,196.0,At-Risk
INV001813,191.0,At-Risk
INV001814,169.0,At-Risk
INV001815,90.0,At-Risk
INV001816,76.0,At-Risk
INV001817,,Active
INV001818,,Active
INV001819,189.0,At-Risk
INV001820,178.0,At-Risk
INV001821,293.0,At-Risk
INV001822,43.0,At-Risk
INV001823,172.0,At-Risk
INV001824,,Active
INV001825,155.0,At-Risk
INV001826,128.0,At-Risk
INV001827,234.0,At-Risk
INV001828,91.0,At-Risk
INV001829,170.0,At-Risk
INV001830,112.0,At-Risk
INV001831,181.0,At-Risk
INV001832,128.0,At-Risk
INV001833,163.0,At-Risk
INV001834,178.0,At-Risk
INV001835,61.0,At-Risk
INV001836,112.0,At-Risk
INV001837,157.0,At-Risk
INV001838,,Active
INV001839,391.0,At-Risk
INV001840,,Active
INV001841,129.0,At-Risk
INV001842,248.0,At-Risk
INV001843,178.0,At-Risk
INV001844,362.0,At-Risk
INV001845,255.0,At-Risk
INV001846,183.0,At-Risk
INV001847,219.0,At-Risk
INV001848,270.0,At-Risk
INV001849,169.0,At-Risk
INV001850,227.0,At-Risk
INV001851,223.0,At-Risk
INV001852,187.0,At-Risk
INV001853,95.0,At-Risk
INV001854,,Active
INV001855,159.0,At-Risk
INV001856,321.0,At-Risk
INV001857,310.0,At-Risk
INV001858,261.0,At-Risk
INV001859,197.0,At-Risk
INV001860,494.0,At-Risk
INV001861,96.0,At-Risk
INV001862,,Active
INV001863,3.0,Active
INV001865,145.0,At-Risk
INV001866,117.0,At-Risk
INV001867,350.0,At-Risk
INV001868,181.0,At-Risk
INV001869,,Active
INV001870,164.0,At-Risk
INV001871,101.0,At-Risk
INV001872,246.0,At-Risk
INV001873,83.0,At-Risk
INV001874,203.0,At-Risk
INV001875,49.0,At-Risk
INV001876,235.0,At-Risk
INV001877,123.0,At-Risk
INV001878,3.0,Active
INV001879,202.0,At-Risk
INV001880,119.0,At-Risk
INV001881,120.0,At-Risk
INV001882,113.0,At-Risk
INV001883,203.0,At-Risk
INV001885,128.0,At-Risk
INV001886,129.0,At-Risk
INV001887,430.0,At-Risk
INV001888,139.0,At-Risk
INV001890,207.0,At-Risk
INV001891,261.0,At-Risk
INV001892,207.0,At-Risk
INV001893,132.0,At-Risk
INV001895,,Active
INV001896,145.0,At-Risk
INV001897,101.0,At-Risk
INV001899,214.0,At-Risk
INV001900,146.0,At-Risk
INV001901,,Active
INV001902,,Active
INV001903,190.0,At-Risk
INV001904,,Active
INV001905,185.0,At-Risk
INV001906,111.0,At-Risk
INV001908,,Active
INV001909,121.0,At-Risk
INV001910,,Active
INV001911,86.0,At-Risk
INV001912,256.0,At-Risk
INV001913,156.0,At-Risk
INV001914,198.0,At-Risk
INV001915,228.0,At-Risk
INV001916,212.0,At-Risk
INV001917,94.0,At-Risk
INV001918,,Active
INV001919,,Active
INV001920,76.0,At-Risk
INV001921,225.0,At-Risk
INV001922,231.0,At-Risk
INV001923,106.0,At-Risk
INV001924,119.0,At-Risk
INV001925,,Active
INV001926,150.0,At-Risk
INV001927,91.0,At-Risk
INV001928,350.0,At-Risk
INV001929,242.0,At-Risk
INV001930,421.0,At-Risk
INV001931,,Active
INV001932,249.0,At-Risk
INV001933,139.0,At-Risk
INV001934,21.0,Active
INV001935,,Active
INV001936,33.0,Active
INV001937,253.0,At-Risk
INV001938,112.0,At-Risk
INV001939,,Active
INV001940,155.0,At-Risk
INV001942,,Active
INV001943,171.0,At-Risk
INV001944,188.0,At-Risk
INV001945,132.0,At-Risk
INV001946,198.0,At-Risk
INV001947,,Active
INV001948,410.0,At-Risk
INV001949,,Active
INV001950,134.0,At-Risk
INV001951,124.0,At-Risk
INV001952,289.0,At-Risk
INV001954,273.0,At-Risk
INV001955,199.0,At-Risk
INV001956,193.0,At-Risk
INV001957,41.0,At-Risk
INV001959,105.0,At-Risk
INV001960,185.0,At-Risk
INV001961,234.0,At-Risk
INV001962,177.0,At-Risk
INV001963,27.0,Active
INV001964,,Active
INV001965,,Active
INV001966,191.0,At-Risk
INV001967,14.0,Active
INV001968,95.0,At-Risk
INV001969,163.0,At-Risk
INV001970,,Active
INV001971,87.0,At-Risk
INV001972,153.0,At-Risk
INV001973,,Active
INV001974,178.0,At-Risk
INV001975,,Active
INV001976,100.0,At-Risk
INV001977,209.0,At-Risk
INV001978,112.0,At-Risk
INV001979,100.0,At-Risk
INV001980,389.0,At-Risk
INV001981,,Active
INV001982,289.0,At-Risk
INV001983,306.0,At-Risk
INV001984,,Active
INV001985,192.0,At-Risk
INV001986,98.0,At-Risk
INV001987,241.0,At-Risk
INV001988,,Active
INV001989,94.0,At-Risk
INV001990,91.0,At-Risk
INV001991,,Active
INV001992,222.0,At-Risk
INV001993,147.0,At-Risk
INV001994,,Active
INV001995,94.0,At-Risk
INV001996,,Active
INV001997,168.0,At-Risk
INV001998,215.0,At-Risk
INV001999,127.0,At-Risk
INV002000,132.0,At-Risk
INV002001,335.0,At-Risk
INV002002,109.0,At-Risk
INV002003,152.0,At-Risk
INV002004,,Active
INV002005,112.0,At-Risk
INV002006,157.0,At-Risk
INV002007,233.0,At-Risk
INV002008,266.0,At-Risk
INV002009,,Active
INV002010,103.0,At-Risk
INV002011,205.0,At-Risk
INV002012,144.0,At-Risk
INV002013,187.0,At-Risk
INV002014,101.0,At-Risk
INV002015,402.0,At-Risk
INV002016,90.0,At-Risk
INV002017,99.0,At-Risk
INV002018,106.0,At-Risk
INV002019,117.0,At-Risk
INV002020,,Active
INV002021,277.0,At-Risk
INV002022,95.0,At-Risk
INV002023,258.0,At-Risk
INV002024,,Active
INV002025,92.0,At-Risk
INV002026,161.0,At-Risk
INV002027,235.0,At-Risk
INV002028,,Active
INV002029,,Active
INV002030,257.0,At-Risk
INV002031,,Active
INV002032,26.0,Active
INV002033,123.0,At-Risk
INV002034,166.0,At-Risk
INV002035,296.0,At-Risk
INV002036,66.0,At-Risk
INV002037,61.0,At-Risk
INV002038,202.0,At-Risk
INV002039,269.0,At-Risk
INV002040,178.0,At-Risk
INV002041,130.0,At-Risk
INV002042,76.0,At-Risk
INV002043,64.0,At-Risk
INV002044,159.0,At-Risk
INV002045,206.0,At-Risk
INV002046,,Active
INV002047,161.0,At-Risk
INV002048,,Active
INV002049,239.0,At-Risk
INV002050,211.0,At-Risk
INV002051,159.0,At-Risk
INV002052,114.0,At-Risk
INV002053,21.0,Active
INV002054,127.0,At-Risk
INV002055,254.0,At-Risk
INV002056,279.0,At-Risk
INV002057,,Active
INV002058,,Active
INV002059,268.0,At-Risk
INV002060,215.0,At-Risk
INV002061,205.0,At-Risk
INV002063,73.0,At-Risk
INV002064,,Active
INV002065,270.0,At-Risk
INV002066,130.0,At-Risk
INV002067,130.0,At-Risk
INV002068,221.0,At-Risk
INV002069,95.0,At-Risk
INV002070,118.0,At-Risk
INV002071,,Active
INV002072,266.0,At-Risk
INV002073,226.0,At-Risk
INV002074,114.0,At-Risk
INV002075,140.0,At-Risk
INV002076,,Active
INV002077,99.0,At-Risk
INV002078,54.0,At-Risk
INV002079,175.0,At-Risk
INV002080,218.0,At-Risk
INV002081,47.0,At-Risk
INV002082,83.0,At-Risk
INV002083,193.0,At-Risk
INV002084,,Active
INV002085,220.0,At-Risk
INV002087,126.0,At-Risk
INV002088,182.0,At-Risk
INV002089,145.0,At-Risk
INV002090,231.0,At-Risk
INV002091,,Active
INV002092,54.0,At-Risk
INV002093,110.0,At-Risk
INV002094,341.0,At-Risk
